,ID,Training Source,Home Office/Metro Area,Organization Number,Organization,Capability,Function 2,Career Level,Function,Function Name,Title,Training Type,Training Provider,Training Delivery Type,Training Location,Course Name,Course URL / Code,Vendor Name,Conference Name,Course or Event Name,Certification Type,Certification Name,Certification URL,Is there a course with this certification?,Consolidated Course Name,Category,Activity,Support Group,Assigned To,Request Status,Start Date,End Date,Start Mo/Yr,End Mo/Yr,Start FY,End FY,Business Justification,What % of the conference is business development?,Training Hours,Travel Required,Individual Travel Hours,Rqst Tot Labor Hrs,Airfare,Hotel,Per Diem,Other,Estimated Individual Travel,Misc Expenses,Certification Fee,Conference Fee,Course Fee,Catering,Facility Rental,Vendor Charge,Direct Other Expenses,Describe Other Expenses,Direct Expense Impact,Rqst NPR Alloc,Rqst NPR OH,Cancel No Response,Created,Retroactive Start Date,Duplicates,Reporting Status
11,TAS0010884,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.104,TDSADC Emerging Tech,Emerging Tech,TDSADC,6,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,NA,AFS Cost Compliance Training,N/A,NA,NA,NA,NA,NA,NA,NA,AFS Cost Compliance Training,ACN/AFS Curriculum,AFS Cost Compliance,TAS TDSADC Emerging Tech Approval Group,michael.g.fulton,Training Complete,1/10/2017,1/10/2017,05_Jan,05_Jan,FY17,FY17,Career growth,NA,8,No,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42703.45528,TRUE,NO,3. Complete
12,TAS0014446,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.011,TDL Security,Security,TDL,8,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,NA,North American Experienced Hire School,https://mylearning.accenture.com/myl-ui/learner/activityDetails?referrer=search&activityID=553497&so,NA,NA,NA,NA,NA,NA,NA,North American Experienced Hire School,ACN/AFS Curriculum,Exp Hire,TAS TDL Security Approval Group,NA,Approved,6/14/2017,6/16/2017,10_Jun,10_Jun,FY17,FY17,Accenture curriculum,NA,24,Yes,5,29,225,0,0,340,0,0,0,0,0,0,0,0,0,NA,NA,0,565,TRUE,42814.61611,TRUE,NO,2. Approved
13,TAS0009091,TAS,NA,01.01.206.009,TC Infrastructure,Infrastructure,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,NA,North America (NA) Experienced Hire School,Course Code: USCEXP02 - https://mylearning.accenture.com/Atlas/home.aspx?url=%23%2FactivityDetailsqm,NA,NA,NA,NA,NA,NA,NA,North America (NA) Experienced Hire School,ACN/AFS Curriculum,Exp Hire,TAS TC Infrastructure Approval Group,NA,Training Complete,9/28/2016,9/30/2016,01_Sep,01_Sep,FY17,FY17,Accenture curriculum,NA,24,Yes,8,32,598,0,75,68,0,0,0,0,0,0,0,0,0,NA,NA,0,741,TRUE,42599.58028,TRUE,NO,3. Complete
14,TAS0008926,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.005,TC Industry,Industry,TC,6,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Virtual,NA,CDP Certification Training,Z63018,NA,NA,NA,NA,NA,NA,NA,CDP Certification Training,ACN/AFS Curriculum,CDP,TAS TC Industry Approval Group,NA,Approved,8/5/2016,5/31/2017,12_Aug,09_May,FY16,FY17,Accenture curriculum,NA,6,No,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42586.91814,TRUE,NO,N/A
15,TAS0012120,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.103,TDSADC Testing,Testing,TDSADC,6,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Classroom,NA,AFS CDP Black Belt Training,NA,NA,NA,NA,NA,NA,NA,NA,AFS CDP Black Belt Training,ACN/AFS Curriculum,CDP,TAS TDSADC Testing Approval Group,michael.g.fulton,Training Complete,2/22/2017,2/22/2017,06_Feb,06_Feb,FY17,FY17,Current project/role,NA,4,No,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42765.67762,TRUE,NO,3. Complete
16,TAS0013045,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,4,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,NA,AFS Quality Assurance and Risk Management Workshop,A15315-02,NA,NA,NA,NA,NA,NA,NA,AFS Quality Assurance and Risk Management Workshop,ACN/AFS Curriculum,AFS QA/Risk Mgmt Workshop,TAS TDL Advanced Tech & Arch Approval Group,NA,Training Complete,3/13/2017,3/13/2017,07_Mar,07_Mar,FY17,FY17,Accenture curriculum,NA,4,No,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42794.59578,TRUE,NO,3. Complete
17,TAS0012445,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.001,TDL Internal Mgmt,Internal Mgmt,TDL,6,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Virtual,NA,Innovating the New,A72106,NA,NA,NA,NA,NA,NA,NA,Innovating the New,ACN/AFS Curriculum,Innovating in the new,TAS TDL Internal Mgmt Approval Group,NA,Training Complete,2/9/2017,2/9/2017,06_Feb,06_Feb,FY17,FY17,Other,NA,1,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42774.45483,TRUE,NO,3. Complete
18,TAS0012644,TAS,El Segundo GS 2141 Rosecrans,01.01.207.005,TDL Industry,Industry,TDL,6,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Classroom,NA,Client Data Protection Training for Classified (CDP-C),https://mylearning.accenture.com/myl-ui/learner/activityDetails?activityID=1256695&activitySource=LM,NA,NA,NA,NA,NA,NA,NA,Client Data Protection Training for Classified (CDP-C),ACN/AFS Curriculum,CDP,TAS TDL Industry Approval Group,NA,Training Complete,3/2/2017,3/2/2017,07_Mar,07_Mar,FY17,FY17,Current project/role,NA,5,No,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42780.4542,TRUE,NO,3. Complete
19,TAS0009652,TAS,Austin GS 1501 S Mopac,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,6,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,"San Antonio, TX",AFS Cost Compliance Training,N/A,NA,NA,NA,NA,NA,NA,NA,AFS Cost Compliance Training,ACN/AFS Curriculum,AFS Cost Compliance,TAS TDL Advanced Tech & Arch Approval Group,NA,Training Complete,1/10/2017,1/10/2017,05_Jan,05_Jan,FY17,FY17,Career growth,NA,8,Yes,4,12,0,0,0,90,90,0,0,0,0,0,0,0,0,NA,NA,0,90,TRUE,42639.64524,TRUE,NO,3. Complete
20,TAS0009816,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.005,TDL Industry,Industry,TDL,6,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,NA,AFS Cost Compliance Training,N/A,NA,NA,NA,NA,NA,NA,NA,AFS Cost Compliance Training,ACN/AFS Curriculum,AFS Cost Compliance,TAS TDL Industry Approval Group,NA,Training Complete,10/28/2016,10/28/2016,02_Oct,02_Oct,FY17,FY17,Career growth,NA,8,No,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42647.61513,TRUE,NO,3. Complete
21,TAS0009682,TAS,San Diego AFS 1615 Murray Canyon,01.01.207.009,TDL Infrastructure,Infrastructure,TDL,6,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,"Arlington, VA",AFS Cost Compliance Training,N/A,NA,NA,NA,NA,NA,NA,NA,AFS Cost Compliance Training,ACN/AFS Curriculum,AFS Cost Compliance,TAS TDL Infrastructure Approval Group,NA,Training Complete,3/22/2017,3/22/2017,07_Mar,07_Mar,FY17,FY17,Career growth,NA,8,Yes,12,20,494,452,138,90,1174,0,0,0,0,0,0,0,0,NA,NA,0,1174,TRUE,42640.73149,TRUE,NO,3. Complete
22,TAS0013168,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.005,TDL Industry,Industry,TDL,6,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,NA,CDP Certification Training,https://mylearning.accenture.com/myl-ui/learner/activityDetails?activityID=1324980&activitySource=LM,NA,NA,NA,NA,NA,NA,NA,CDP Certification Training,ACN/AFS Curriculum,CDP,TAS TDL Industry Approval Group,NA,Training Complete,3/2/2017,3/2/2017,07_Mar,07_Mar,FY17,FY17,Current project/role,NA,0.5,No,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42796.43186,TRUE,NO,3. Complete
23,TAS0010692,TAS,San Antonio AFS 7050 Fairgrounds,01.01.207.107,TDSADC Oracle,Oracle,TDSADC,7,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,NA,CDP Overview for Delivery Leads and Account and Engagement Information Security Leads; Client Data P,"Z63018, A03010, A12691, A40521, Z50371",NA,NA,NA,NA,NA,NA,NA,CDP Overview for Delivery Leads and Account and Engagement Information Security Leads; Client Data P,ACN/AFS Curriculum,CDP,TAS TDSADC Oracle Approval Group,michael.g.fulton,Training Complete,11/28/2016,12/31/2016,03_Nov,04_Dec,FY17,FY17,Current project/role,NA,6,No,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42691.50491,TRUE,NO,3. Complete
24,TAS0012543,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.004,TC Emerging Technology,Emerging Tech,TC,4,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,NA,Innovating in the New - Phase 1,A72106,NA,NA,NA,NA,NA,NA,NA,Innovating in the New - Phase 1,ACN/AFS Curriculum,Innovating in the new,TAS TC Emerging Technology Approval Group,NA,Training Complete,3/1/2017,4/30/2017,07_Mar,08_Apr,FY17,FY17,Other,NA,1,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42775.89488,TRUE,NO,3. Complete
25,TAS0015497,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,9,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,NA,Secure Coding for Java with OWASP Top Ten - Data Protection,A84693,NA,NA,NA,NA,NA,NA,NA,Secure Coding for Java with OWASP Top Ten - Data Protection,ACN/AFS Curriculum,CDP,TAS TDL Emerging Technology Approval Group,NA,Training Complete,4/14/2017,4/27/2017,08_Apr,08_Apr,FY17,FY17,Current project/role,NA,0.5,NA,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42838.5936,TRUE,NO,3. Complete
26,TAS0015698,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,11,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,NA,Secure Coding for Java with OWASP Top Ten - Authorization,A84657,NA,NA,NA,NA,NA,NA,NA,Secure Coding for Java with OWASP Top Ten - Authorization,ACN/AFS Curriculum,CDP,TAS TDL Advanced Tech & Arch Approval Group,NA,Approved,4/14/2017,4/17/2017,08_Apr,08_Apr,FY17,FY17,Other,NA,0.25,No,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42839.69602,TRUE,NO,2. Approved
27,TAS0012897,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.010,TC IT Strategy,IT Strategy,TC,7,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Virtual,NA,Client Data Protection Effective Implementation and Ongoing Compliance,A12691,NA,NA,NA,NA,NA,NA,NA,Client Data Protection Effective Implementation and Ongoing Compliance,ACN/AFS Curriculum,CDP,TAS TC IT Strategy Approval Group,NA,Training Complete,2/24/2017,2/24/2017,06_Feb,06_Feb,FY17,FY17,Accenture curriculum,NA,1,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42790.44028,TRUE,NO,3. Complete
28,TAS0012301,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.011,TC Security,Security,TC,6,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Classroom,NA,CDP Training for Classified,A12826,NA,NA,NA,NA,NA,NA,NA,CDP Training for Classified,ACN/AFS Curriculum,CDP,TAS TC Security Approval Group,NA,Training Complete,3/2/2017,3/2/2017,07_Mar,07_Mar,FY17,FY17,Current project/role,NA,4.5,No,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42769.53366,TRUE,NO,3. Complete
29,TAS0012419,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,NA,Innovating in the New,A72106,NA,NA,NA,NA,NA,NA,NA,Innovating in the New,ACN/AFS Curriculum,Innovating in the new,TAS TC Advanced Tech & Arch Approval Group,NA,Approved,4/1/2017,5/31/2017,08_Apr,09_May,FY17,FY17,Accenture curriculum,NA,1,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42773.64508,TRUE,NO,N/A
30,TAS0012698,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.005,TDL Industry,Industry,TDL,4,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,NA,Technology Immersion Workshop,A11317,NA,NA,NA,NA,NA,NA,NA,Technology Immersion Workshop,ACN/AFS Curriculum,TC Immersion Workshop,TAS TDL Industry Approval Group,NA,Training Complete,3/14/2017,3/16/2017,07_Mar,07_Mar,FY17,FY17,Accenture curriculum,NA,24,Yes,6,30,500,0,100,200,800,0,0,0,0,0,0,0,0,NA,NA,0,800,TRUE,42781.92962,TRUE,NO,3. Complete
31,TAS0009863,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Classroom,NA,CDP Training for Classified,A12826,NA,NA,NA,NA,NA,NA,NA,CDP Training for Classified,ACN/AFS Curriculum,CDP,TAS TC Advanced Tech & Arch Approval Group,NA,Training Complete,10/19/2016,10/19/2016,02_Oct,02_Oct,FY17,FY17,Accenture curriculum,NA,4.5,No,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42649.49181,TRUE,NO,3. Complete
32,TAS0012891,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.005,TC Industry,Industry,TC,7,TC,Technology Consulting,Client Data Protection  -  Technology Consulting  -  Accenture,Client Data Protection,Accenture,Classroom,NA,CDP Training for Classified,A12826,NA,NA,NA,NA,NA,NA,NA,CDP Training for Classified,ACN/AFS Curriculum,CDP,TAS TC Industry Approval Group,NA,Training Complete,3/2/2017,3/2/2017,07_Mar,07_Mar,FY17,FY17,Current project/role,NA,4.5,No,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42790.41615,TRUE,NO,3. Complete
33,TAS0015487,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.004,TDL Emerging Technology,Emerging Tech,TDL,8,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,NA,Secure Coding for Java with OWASP Top Ten - Authentication,A84637,NA,NA,NA,NA,NA,NA,NA,Secure Coding for Java with OWASP Top Ten - Authentication,ACN/AFS Curriculum,CDP,TAS TDL Emerging Technology Approval Group,NA,Approved,4/18/2017,4/21/2017,08_Apr,08_Apr,FY17,FY17,Current project/role,NA,0.5,No,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42838.58354,TRUE,NO,2. Approved
34,TAS0009760,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.005,TC Industry,Industry,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Virtual,NA,NA Entry Level C&M Confirming Interview Training,REL97862,NA,NA,NA,NA,NA,NA,NA,NA Entry Level C&M Confirming Interview Training,ACN/AFS Curriculum,Interviewer training,TAS TC Industry Approval Group,NA,Training Complete,10/3/2016,10/4/2016,02_Oct,02_Oct,FY17,FY17,Accenture curriculum,NA,0.5,No,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42646.46957,TRUE,NO,3. Complete
35,TAS0011170,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,10,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,NA,CDP-CMS-required Secure Application Development Training Courses,"A59426, A59599, A84621, A84637, A84657, A84672, A84685, A84693, A84721",NA,NA,NA,NA,NA,NA,NA,CDP-CMS-required Secure Application Development Training Courses,ACN/AFS Curriculum,CDP,TAS TDL Advanced Tech & Arch Approval Group,NA,Training Complete,12/13/2016,12/13/2016,04_Dec,04_Dec,FY17,FY17,Other,NA,5,No,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42717.46514,TRUE,NO,3. Complete
36,TAS0011178,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,8,TD,Technology Delivery,Client Data Protection  -  Technology Delivery  -  Accenture,Client Data Protection,Accenture,Virtual,NA,CDP - CMS-required Secure Application Development Training Courses,"A59426, A59599, A84621, A84637, A84657, A84672, A84685, A84693, A84721",NA,NA,NA,NA,NA,NA,NA,CDP - CMS-required Secure Application Development Training Courses,ACN/AFS Curriculum,CDP,TAS TDL Advanced Tech & Arch Approval Group,NA,Training Complete,12/13/2016,1/13/2017,04_Dec,05_Jan,FY17,FY17,Current project/role,NA,5,No,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42717.52781,TRUE,NO,3. Complete
37,TAS0010852,TAS,Dallas GS 5221 O'Connor Las Colinas,01.01.207.102,TDSADC Custom,Custom,TDSADC,6,TD,Technology Delivery,Elective Course  -  Technology Delivery  -  Accenture,Elective Course,Accenture,Classroom,NA,AFS Cost Compliance Training,N/A,NA,NA,NA,NA,NA,NA,NA,AFS Cost Compliance Training,ACN/AFS Curriculum,AFS Cost Compliance,TAS TDSADC Custom Approval Group,michael.g.fulton,Training Complete,1/10/2017,1/10/2017,05_Jan,05_Jan,FY17,FY17,Career growth,NA,8,No,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,TRUE,42702.55304,TRUE,NO,3. Complete
